true,pred,prob_pos,text_snippet
0,1,0.7689152398948585," "" what's your favorite new york moment ? ""   "" this one's climbing the charts . ""  starring john cusack , kate beckinsale , eugene levy , molly shannon .  directed by peter chelsom .  rated pg-13 .  there's no doubt that 95% of romantic comedies follow a distinct pattern : guy sees girl , guy wants girl , guy goes through unreasonable obstacles to get girl , guy gets girl .  in rare cases , the genders are flipped .  predictability is a given .  rarely , though , is a romantic comedy as cheap ,"
0,1,0.6117050316964661,"i've heard it called "" jaws with claws "" and that's a fair summation of the plot , though that tag line does little to quantify quality .  director stephen hopkins ( blown away , predator 2 ) and screenwriter william goldman ( maverick , misery ) would have you believe that this is an epic historical drama about man against nature , based on what really happened in africa to the railroad workers trying to build a bridge to the 20th century .  they've stacked the deck with two big stars ( val kil"
0,1,0.7090141827520111,"robin williams has the rarest of gifts : the ability to rise above the most inept material and suffuse it with his irreverent style .  overwhelmingly , his worst films are pleasantly diverting at worst and enjoyable at best ( with the notable exception of flubber ) .  so when i , the one person who has refused to abandon him despite patch adams , tell you that not even williams can save his latest project , you know it's in trouble .  jakob the liar is a confused , muddled little movie ; a gener"
0,1,0.7421892746533121,"`the bachelor' is one of the best terrible movies you will ever see .  wading through this gooey , detestable sludge is quite the chore for even a dedicated romantic .  those hoping to find some genuine charm and feeling behind this chris o'donnell vehicle should wander elsewhere ; `the bachelor' is a painfully clumsy mess strung together with a few brief moments of surprising poignancy .  awaiting these moments by enduring the rest of the film is certainly not worth your time or money .  althou"
0,1,0.6630733888091371,"well , as i check my score card for what i've done this holiday weekend , it reads good ideas : 0 and dumb ideas : 1 .  i don't know what i was thinking when i decided to watch this movie .  but in my defense , i can only say that it was someone else who urged me to see this with him .  the film that i'm talking about is `a night at the roxbury , ' one of those offerings based on a saturday night live skit .  wayne and garth , these two are not .  rather , we meet doug and steve butabi ( the act"
0,1,0.7105315027792053,"the king and i , a warner brothers animated , musical feature , recycles the classic story of a woman who challenges the heart of a king , with obvious results .  when anna ( miranda richardson ) , a british schoolteacher , travels to saim to educate the king's ( martin vidnovic ) children , she learns that the king is treating his people unfairly , and must say something to the greedy ruler .  meanwhile , the king's prime minister ( ian richardson ) , the stereotypical villain , plots to overth"
1,0,0.46646752552491394,"alchemy is steeped in shades of blue .  kieslowski's blue , that is .  with its examination of death , isolation , character restoration , and recovery from loss , suzanne myers' new independent film echoes the polish director's internationally-acclaimed 1993 release .  language aside , the principal difference between the films is that , while kieslowski took great pains to draw us into the main character's world , alchemy keeps its viewers at arm's length .  as a result , while we're able to a"
1,0,0.1932298660465655,"a sci fi/comedy starring jack nicholson , pierce brosnan , annette benning , glenn close , martin short and other stars .  a warner bros picture  the martians have landed in this hillarous tim burton movie .  before entering the cinema , i was initially a little bit nervous about what this film would be like .  many people were saying that this film was silly rubbish , and there was no point to it all .  how wrong they were .  i left this film feeling much happier than i was before i entered the"
1,0,0.4716512934851754,"the heist of a flawless , 84 carat diamond , fixed bare knuckle fights , irish gypsies and a dog are just some of the goings on in director guy ritchies's sophomore feature , "" snatch . ""   "" lock , stock and two smoking barrels "" intro'd helmer/scripter ritchie with a hyper-kinetic , in your face underworld comedy that grabbed the viewer's attention from beginning to end .  his protagonists were innocents set adrift in a see of sharks to swim or be eaten alive .  with "" snatch , "" the director "
0,1,0.53486816262551,"when the film features richard lynch in the role of chief villain , you know that you can expect nothing more than a b grade action movie .  however , since this film also featured michael madsen , more than capable character actor , this time in the role of protagonist , the author of this review decided to give the film some benefit of the doubt .  however , the very first scenes show clear b grade action credentials - madsen plays richard montana , tough policeman who raids a drug warehouse a"
