true,pred,prob_pos,text_snippet
1,0,0.20866414112449608,"in october of 1997 , audiences were dazzled by the horror surprise hit i know what you did last summer .  the film went on to gross over 70 million dollars in the u . s . , and even developed a cult following , much like the previous year's 100 million dollar grossing scream .  when the trailer hit theaters in september attached to urban legend , it looked like a wonderful follow-up .  did it live up to the first film ?  the answer is no .  jennifer love hewitt returns as julie james , a survivo"
0,1,0.5427342422986676,"i have never seen a man so in love with himself than george lucas .  with the overt success of the three original star wars films , lucas has become , not necessarily a filmmaker , but the head cheeze at a huge toy company , with the phantom menace the new product on the shelve .  only this toy was made for $115 million , but every kid wants it , and , like all other expensive toys , falls apart within an hour after playing with it .  the product in question , star wars episode 1 : the phantom m"
1,0,0.3774368910074902,"usually when a blockbuster comes out , it's loaded with effects , stars , bad scripts , and plenty of action .  mystery men may contain an all-star cast , and efects , but the clever script and characters are what really works , which is rare to see this year .  the film is based upon the comic book series "" the flaming carrot "" by bob burden , in which 3 wanna be super heroes try and fight crime , only to be out done by the real hero of champion city , captain amazing ( greg kinnear ) .  things"
1,0,0.26643914392523466,"i think the first thing this reviewer should mention is wether or not i am a fan of the x-files .  first , let me assure you that no prior experience with the series is required to fully enjoy this movie .  the producers are not stupid , making a movie just for fans of the series is not profitable .  you have to reach for a larger audience .  therefore , the movie is quite user-friendly .  altough , non-fans will only fail to understand certain emotions behind the looks many characters exchange "
1,0,0.3929755310446577,"plot : a bunch of bad guys dressed up as elvis impersonators rob a vegas casino during a presley convention .  the boys eventually get together to split the money , but as plans change , double-crosses occur , dealing and wheeling goes down and the crew set up for the road .  who's on the up and up , who's the real bad guy and who's gonna get to bang courteney cox are just a few of the questions which will be answered by the rest of this movie .  critique : the funnest movie that i've seen so fa"
0,1,0.5860194888227989,"as a hot-shot defense attorney , kevin lomax ( keanu reeves ) has a special talent for picking juries that will ultimately acquit his clients .  he is also an excellent judge of character , knowing just which strings to pull to sway the jury while breaking down a potentially damaging witness's testimony .  and , on top of that , he's a damn good trial lawyer .  in the opening scene , it is obvious that the defendant that he represents is guilty , but it doesn't hamper lomax's desire to creativel"
0,1,0.592164713055404,"various films seen at the seattle film festival :  it's all true/three men on a raft ( u . s . a . , 1942/1986 ) director : orson welles  a recently uncovered one-fourth of orson welle's planned "" docu-drama "" of amazing stories around the world named it's all true , this short dealt with welle's attempts to document the actions of several brazilian fisherman in 1942 who had become folk heroes for their fantastic voyage to rio on a raft .  while several clips of the film are seen , the short ten"
1,0,0.4662357900472768,"apollo 13 is simply one of the most dramatic film this summer ( apart from swashbuckling braveheart ) .  director ( and former actor ) ron howard ( splash , backdraft , far & away ) , most noted for his dramatic film making , displays again his brilliance in creating drama and suspense in apollo 13 .  being the second largest box office hit in the us this summer ( with more than us$150 million in the states alone ) , this film is his most successful effort yet .  perhaps one of the most appealin"
0,1,0.6664239777057521,"this is not a simple plan about finding a plane load of money and getting away with the cash .  this is more about a parable of greed , and how money can become the bane of your life .  yes , there are elements of ? fargo' here ( the snow and cold ) , although not as vivid in the blood and gore department .  it shows how greed can set of a chain of events leading to death and the destruction of lives .  and how at the end of the day , the things that matter most are love , truth and honesty .  a"
1,0,0.28625277096912183,"harmless , silly and fun comedy about dim-witted wrestling fans gordie and sean ( david arquette and scott caan ) who idolize current world championship wrestling heavyweight champion jimmy king ( oliver platt ) .  when king is screwed out of his title by a corrupt promoter ( joe pantoliano ) , gordie and sean take it upon themselves to find their fallen hero and restore his glory .  my biggest fear about ready to rumble was dispatched early on , as the filmmakers are quick to show that wresting"
0,1,0.5713363430836382,"based on the novel set in 1914 by joseph conrad , victory spins a tale of a pair of lovers , heyst ( william dafoe ) and alma ( irene jacob ) , who seek refuge on heyst's isolated island .  however , their idyllic world begins to crumble upon the arrival of mr jones ( sam neil ) , martin ricardo ( rufus sewell ) and their servant , pedro ( graziano marcelli ) , who have come to steal heyst's rumoured plunder .  while the novel is largely complex in characterization , the film sadly transposes co"
1,0,0.3501838886286786," "" he's back , and it's about time . ""  was the motto for this television series pilot ( i call it a pilot , i don't care what fox network says ) revival of the cult classic british tv show , doctor who , that spawned no series , which means there are no smart network execs out there ( not exactly news to a lot of people , i know ) .  the motto was well chosen .  the series was simple , it was about this time lord scientist called the doctor with thirteen lives who traveled around in a type fort"
1,0,0.47847730723763715,"not since oliver stone's natural born killers has there been a movie this incendiary , and not since david cronenberg has a so-called mainstream director been this willing to repeatedly tiptoe the fine line between pointed social commentary and outright social irresponsibility .  while fincher's films have never suffered from a lack of shock value ( his major character killings in both alien 3 and seven are fine examples ) , fight club marks the distillation of his pitch-black comedic sensibilit"
0,1,0.6435125884326749,"in our time .  in our modern world , where the cool rule , it's hard to imagine that shakespeare is becoming 'the man' .  and yet - film after film , after film , is based on his everlasting magic .  in warner brothers' latest production , shakespeare is kicking ass to a rap beat , while his magic and intelligence slowly fades away .  though the producers of the matrix have vaguely based their picture on william shakespeare's 'romeo and juliet' , its title sequence with a frightening rap song an"
0,1,0.5450222737238947," * * * the following review contains some harsh language . . .  but what did you expect when you clicked on this title ?   * * *  cast : kristen holly smith , danica sheridan , alex boling , michael dotson , sonya hensley , janet krajeski , sabrina lu , dionysius burbano , calvin grant , jeff b . harmon written and directed by : jeff b . harmon running time : 97 minutes   "" the thought of losing you makes me all vomity inside . ""  --- blatz balinski ( danica sheridan ) laments the fact that her "
1,0,0.47142965658327185,"if you've ever perused my college comedy diary "" another year in the life of a nerd "" ( i never run out of cheap plugs ) , you know i didn't get along with my first-semester roommate too well .  in fact , during the three-week period between thanksgiving and christmas break , i said a total of four sentences to him .  so when i saw in the residence hall cable listings a movie called roommates , i envisioned 90 minutes of conflict between a couple of bickering young adults trapped in a 10 x 13 fo"
0,1,0.5750468718256733,"the yet-to-be-released krippendorf's tribe is being marketed as a family comedy , but buyer beware .  this movie can't make up its mind .  is it a family comedy with vulgar references to both the male and female bodies , menstruation , circumcision , and sex that would make any parents squirm at the thought of having their child next to them ?  or is it an adult comedy approached with such immaturity that only adolescents will appreciate the effort ?  either way , "" unbalanced "" is the word to s"
1,0,0.48146848349454074,"when a someone journeys to the theater to see a comedy , he always risks having to sit through inanity such as what we recently saw in films like edtv and office space .  it really is too bad that comedies are so hit- and-miss , because when a moviegoer goes in a theater expecting to be amused , it really is a shame when the alleged comedy fails to deliver .  but weep not , dear readers , because the latest comedy out of the hollywood movie mill is nothing less than a sure bet .  austin powers :"
1,0,0.4607326083422616,"the party is one of those classic slapstick comedies that will leave you , at times , cracking up .  the film takes place , for the most part , in real-time during an exclusive evening party that is attended only by the biggest names in hollywood .  hrundi v . bakshi , played very well by peter sellers , is a struggling actor who just came to america from his homeland , india .  hrundi tries out his acting talents , but it seems that he just isn't cut out for the job .  on the set of his current"
1,0,0.45253519647774093,"charlie sheen stars as zane , a radio astronomer who listens for sounds from other lifeforms .  when he finally gets one , his boss destroys the tape and fires him .  naturally , zane is not ready to give up , and he comes up with an ingenious way to do this himself .  he is aided by a young neighborhood kid and they discover that the sound is coming from mexico .  so zane goes down there to investigate , and runs into a lady studying why the temperature of the earth has dangerously risen so sud"
0,1,0.7037818564345866,"terrence malick made an excellent 90 minute film adaptation of james jones' world war ii novel .  unfortunately , he buried it within an overlong and overreaching 3-hour long pseudo-epic .  this is a shame because the film features an outstanding performance by nick nolte .  the best scene is when nick nolte's character , lt . col . tall , is forced to deal with the direct refusal by capt . staros ( elias koteas ) to execute an order .  nolte's reaction and transformation may be the best work of"
0,1,0.5021141768497455,"synopsis : original "" jurassic park "" survivor alan grant ( neill ) is tricked by paul and amanda kirby ( macy and leoni ) into leading an expedition to an island overrun by dinosaur , to rescue their stranded son .  grant's team is picked off one by one as they encounter dinosaurs both new and familiar , and grant grows to realise that some breeds are more intelligent than he previously thought .  review : there is one reason why "" jurassic park iii "" is better than its immediate predecessor , "
1,0,0.49164959291923,"bob the happy bastard's quickie review :  i must admit , no doubt's single "" new "" is quite catchy .  it was bouncy and energetic enough to get me to go see this new film from director doug limon , the man who had brought us the humorous swingers a little while back .  the result ?  a movie that's just as good as that song , really .  it follows the lives of several individuals over the course of one weekend .  first we hear about a grocery bagger ( sara polley ) who runs into a monetary situati"
0,1,0.5499788418758864,"lauded as a genius by many , stanley kubrick commands a superlative filmography that includes such critically-acclaimed films as "" 2001 : a space odyssey , "" "" a clockwork orange , "" "" lolita , "" and "" dr .  strangelove , or : how i learned to stop worrying and love the bomb . ""  now , sadly , he's added "" eyes wide shut "" to that impeccable body of work and his final film is the first and only blot on his near-flawless copybook .  kubrick , alas , should have quit while he was ahead .  this muc"
1,0,0.45691154209713053,"i had a chance to see a sneak preview of city slickers ii on campus last night .  i went in with the expectation of a film with the similar flavor which made the original such a success : personal growth and insightful humor about life .  i came away somewhat disappointed in this regard , getting some of the latter and not much of the former .  the basic plot revolves around billy crystal , who plays mitch robbins , turning forty .  he's now become the station manager of the radio station in whi"
